match_id,round,map,bot1_id,bot1_name,bot2_id,bot2_name,result_type,game_steps,duration_minutes,is_timeout,match_created,match_started,result_created
4667807,41408,154,930,SiriusBot,510,PhantomBot,Player2Win,8923,6.64,False,2026-03-04T20:34:25.947614Z,2026-03-04T20:45:02.526024Z,2026-03-04T20:52:36.947063Z
4667678,41408,152,117,Chance,977,Siriusly,Player1Win,14195,10.56,False,2026-03-04T20:34:24.129160Z,2026-03-04T20:49:05.354138Z,2026-03-04T20:58:57.900848Z
4667852,41408,155,1030,who,730,Deimos,Player2Win,11673,8.69,False,2026-03-04T20:34:26.617542Z,2026-03-04T20:59:14.577819Z,2026-03-04T21:02:34.771202Z
4667783,41408,156,901,clone,605,nida,Player1Win,9951,7.4,False,2026-03-04T20:34:25.633629Z,2026-03-04T20:58:43.617539Z,2026-03-04T21:03:12.549604Z
4667748,41408,150,809,PrimordialOrigin,1023,MY_SCRIPTING_SON,Player1Win,14344,10.67,False,2026-03-04T20:34:25.143990Z,2026-03-04T21:03:18.476836Z,2026-03-04T21:07:32.604621Z
4667730,41408,154,1045,tito,930,SiriusBot,Player1Win,11687,8.7,False,2026-03-04T20:34:24.910805Z,2026-03-04T20:59:45.507498Z,2026-03-04T21:10:35.114237Z
4667703,41408,152,779,oberon,940,Princess-Mika-Test,Player2Win,9112,6.78,False,2026-03-04T20:34:24.511728Z,2026-03-04T21:09:55.682388Z,2026-03-04T21:14:50.017690Z
4667708,41408,155,779,oberon,948,titania,Player1Win,30317,22.56,False,2026-03-04T20:34:24.541635Z,2026-03-04T20:51:37.298511Z,2026-03-04T21:15:21.922439Z
4667725,41408,154,732,GPT,605,nida,Player1Win,12268,9.13,False,2026-03-04T20:34:24.832932Z,2026-03-04T21:15:28.715722Z,2026-03-04T21:20:20.780584Z
4667675,41408,156,117,Chance,779,oberon,Player1Win,7342,5.46,False,2026-03-04T20:34:24.048267Z,2026-03-04T21:27:36.201876Z,2026-03-04T21:29:12.418306Z
4667706,41408,149,779,oberon,709,Laser-Circus,Player1Win,15580,11.59,False,2026-03-04T20:34:24.528280Z,2026-03-04T21:34:40.400549Z,2026-03-04T21:41:51.879509Z
4667717,41408,150,732,GPT,248,Eris,Player2Win,16568,12.33,False,2026-03-04T20:34:24.721949Z,2026-03-04T21:30:13.211070Z,2026-03-04T21:42:17.797152Z
4667687,41408,150,117,Chance,971,Nothing,Player2Win,9043,6.73,False,2026-03-04T20:34:24.252809Z,2026-03-04T21:41:16.793004Z,2026-03-04T21:43:37.667145Z
4667702,41408,152,779,oberon,809,PrimordialOrigin,Tie,60487,45.01,False,2026-03-04T20:34:24.505328Z,2026-03-04T20:44:01.094945Z,2026-03-04T21:44:17.931415Z
4667692,41408,152,970,TheLAW,930,SiriusBot,Player1Win,10469,7.79,False,2026-03-04T20:34:24.335088Z,2026-03-04T21:55:00.714656Z,2026-03-04T22:03:47.246826Z
4667714,41408,150,779,oberon,1038,PolyMorph,Player2Win,17046,12.68,False,2026-03-04T20:34:24.639896Z,2026-03-04T21:58:33.327655Z,2026-03-04T22:07:02.251298Z
4667690,41408,150,970,TheLAW,518,norman,Player2Win,12039,8.96,False,2026-03-04T20:34:24.319152Z,2026-03-04T22:05:39.140083Z,2026-03-04T22:10:56.596571Z
4667726,41408,155,732,GPT,730,Deimos,Player2Win,16307,12.13,False,2026-03-04T20:34:24.842513Z,2026-03-04T22:09:12.814585Z,2026-03-04T22:16:27.003039Z
4667713,41408,151,779,oberon,971,Nothing,Player2Win,9826,7.31,False,2026-03-04T20:34:24.632986Z,2026-03-04T22:21:22.980087Z,2026-03-04T22:24:35.627722Z
4667688,41408,150,117,Chance,1038,PolyMorph,Player2Win,16688,12.42,False,2026-03-04T20:34:24.262331Z,2026-03-04T22:17:19.637689Z,2026-03-04T22:27:49.700855Z
4667683,41408,149,117,Chance,1049,TheCatSC2Bot,Player1Win,6220,4.63,False,2026-03-04T20:34:24.212951Z,2026-03-04T22:29:31.734282Z,2026-03-04T22:31:28.585184Z
4667679,41408,150,117,Chance,352,Belzebuth,InitializationError,0,,False,2026-03-04T20:34:24.139989Z,2026-03-04T22:31:33.802679Z,2026-03-04T22:32:46.033654Z
4667681,41408,156,117,Chance,943,puck,Player2Win,7989,5.94,False,2026-03-04T20:34:24.162495Z,2026-03-04T22:33:36.486977Z,2026-03-04T22:34:53.264718Z
4667704,41408,156,779,oberon,977,Siriusly,Player1Win,14346,10.67,False,2026-03-04T20:34:24.517461Z,2026-03-04T22:39:41.882784Z,2026-03-04T22:55:07.993623Z
4667682,41408,151,117,Chance,948,titania,Player2Win,9534,7.09,False,2026-03-04T20:34:24.202718Z,2026-03-04T23:34:01.070068Z,2026-03-04T23:36:22.170839Z
4667698,41408,156,970,TheLAW,961,AvocaDOS,Player1Win,15966,11.88,False,2026-03-04T20:34:24.430146Z,2026-03-04T23:23:22.412218Z,2026-03-04T23:36:57.537673Z
4667722,41408,152,732,GPT,338,smallBly,Player1Win,9452,7.03,False,2026-03-04T20:34:24.765069Z,2026-03-04T23:37:03.662393Z,2026-03-04T23:40:43.418845Z
4667691,41408,150,970,TheLAW,981,KoB,Player2Win,7924,5.9,False,2026-03-04T20:34:24.327834Z,2026-03-04T23:38:04.084337Z,2026-03-04T23:43:01.949127Z
4667676,41408,152,117,Chance,809,PrimordialOrigin,Player2Crash,11305,8.41,False,2026-03-04T20:34:24.103769Z,2026-03-05T00:02:23.270728Z,2026-03-05T00:07:01.451427Z
4667716,41408,156,732,GPT,699,Clicadinha,Player1Win,14749,10.97,False,2026-03-04T20:34:24.711307Z,2026-03-05T00:13:01.540330Z,2026-03-05T00:21:21.297307Z
4667721,41408,149,732,GPT,168,sharkbot,Player1Win,11542,8.59,False,2026-03-04T20:34:24.758444Z,2026-03-05T01:11:01.411779Z,2026-03-05T01:15:13.102491Z
4667719,41408,150,732,GPT,262,whalemean,Player2Win,5020,3.74,False,2026-03-04T20:34:24.739517Z,2026-03-05T01:19:09.227151Z,2026-03-05T01:20:45.367955Z
4667696,41408,151,970,TheLAW,167,TyrT,Player2Win,15503,11.53,False,2026-03-04T20:34:24.413887Z,2026-03-05T01:18:08.760223Z,2026-03-05T01:29:10.277327Z
4667731,41408,152,1045,tito,510,PhantomBot,Player2Win,13037,9.7,False,2026-03-04T20:34:24.916314Z,2026-03-05T01:21:42.833796Z,2026-03-05T01:30:29.206342Z
4667712,41408,156,779,oberon,876,GenesisLotus,Player1Win,20636,15.35,False,2026-03-04T20:34:24.625291Z,2026-03-05T01:23:14.085741Z,2026-03-05T01:38:35.519782Z
4667728,41408,151,1045,tito,518,norman,Player1Win,13097,9.74,False,2026-03-04T20:34:24.864772Z,2026-03-05T01:31:21.923397Z,2026-03-05T01:40:14.590569Z
4667693,41408,151,970,TheLAW,510,PhantomBot,Player2Win,12650,9.41,False,2026-03-04T20:34:24.343298Z,2026-03-05T01:33:22.890146Z,2026-03-05T01:42:38.780244Z
4667710,41408,155,779,oberon,827,smokinggunbot,Player2Win,22048,16.4,False,2026-03-04T20:34:24.609745Z,2026-03-05T01:43:32.666937Z,2026-03-05T01:51:16.325857Z
4667724,41408,152,732,GPT,797,WickedBot,Player1Win,13948,10.38,False,2026-03-04T20:34:24.823091Z,2026-03-05T01:46:34.791602Z,2026-03-05T01:53:22.376834Z
4667727,41408,152,732,GPT,115,BenBotBC,Player2Win,18666,13.89,False,2026-03-04T20:34:24.851794Z,2026-03-05T02:06:28.543265Z,2026-03-05T02:11:37.064139Z
4667701,41408,154,970,TheLAW,1032,WaterLeak,Player2Win,7514,5.59,False,2026-03-04T20:34:24.455782Z,2026-03-05T02:17:54.875481Z,2026-03-05T02:20:30.695462Z
4667694,41408,155,970,TheLAW,708,Princess-Mika,Player2Win,13096,9.74,False,2026-03-04T20:34:24.353288Z,2026-03-05T03:53:02.495056Z,2026-03-05T03:59:55.701705Z
4667849,41408,156,1030,who,346,Sharkling,Player1Win,8218,6.11,False,2026-03-04T20:34:26.546390Z,2026-03-04T21:06:51.990569Z,2026-03-04T21:09:52.508631Z
4667769,41408,156,518,norman,201,QueenBot,Player2Win,22052,16.41,False,2026-03-04T20:34:25.432839Z,2026-03-04T20:53:39.683584Z,2026-03-04T21:14:40.174878Z
4667737,41408,151,1045,tito,718,Mulebot,Player2Win,9938,7.39,False,2026-03-04T20:34:25.006392Z,2026-03-04T21:15:59.985759Z,2026-03-04T21:19:11.210394Z
4667820,41408,151,977,Siriusly,1049,TheCatSC2Bot,Player1Win,7330,5.45,False,2026-03-04T20:34:26.142707Z,2026-03-04T21:18:00.133843Z,2026-03-04T21:24:22.256381Z
4667684,41408,151,117,Chance,827,smokinggunbot,Player2Win,19082,14.2,False,2026-03-04T20:34:24.220819Z,2026-03-04T21:19:03.615864Z,2026-03-04T21:25:39.709412Z
4667718,41408,154,732,GPT,1030,who,Player1Win,20548,15.29,False,2026-03-04T20:34:24.730376Z,2026-03-04T21:21:01.462330Z,2026-03-04T21:28:00.022932Z
4667922,41408,154,1023,MY_SCRIPTING_SON,876,GenesisLotus,Player1Win,11102,8.26,False,2026-03-04T20:34:27.715565Z,2026-03-04T21:25:04.771339Z,2026-03-04T21:29:10.252315Z
4667774,41408,150,901,clone,699,Clicadinha,Player1Win,7008,5.21,False,2026-03-04T20:34:25.520081Z,2026-03-04T21:33:08.931964Z,2026-03-04T21:35:45.425107Z
4667850,41408,156,1030,who,797,WickedBot,Player1Win,16660,12.4,False,2026-03-04T20:34:26.553288Z,2026-03-04T21:31:07.870628Z,2026-03-04T21:39:58.293595Z
4667689,41408,149,970,TheLAW,1045,tito,Player2Win,13318,9.91,False,2026-03-04T20:34:24.309234Z,2026-03-04T21:30:13.720994Z,2026-03-04T21:40:29.695253Z
4667828,41408,156,352,Belzebuth,948,titania,InitializationError,0,,False,2026-03-04T20:34:26.258343Z,2026-03-04T21:44:49.388240Z,2026-03-04T21:45:47.287803Z
4667874,41408,154,943,puck,876,GenesisLotus,Player1Win,19932,14.83,False,2026-03-04T20:34:26.933757Z,2026-03-04T21:36:42.511566Z,2026-03-04T21:48:44.029207Z
4667695,41408,156,970,TheLAW,759,BotTato,Player2Win,11832,8.8,False,2026-03-04T20:34:24.403720Z,2026-03-04T21:43:17.813640Z,2026-03-04T21:49:02.663963Z
4667907,41408,149,338,smallBly,730,Deimos,Player2Win,12448,9.26,False,2026-03-04T20:34:27.430514Z,2026-03-04T21:46:51.314356Z,2026-03-04T21:49:04.884740Z
4667880,41408,155,340,MechaShark,797,WickedBot,Player2Win,11756,8.75,False,2026-03-04T20:34:27.027009Z,2026-03-04T21:45:22.514072Z,2026-03-04T21:54:20.787796Z
4667759,41408,149,940,Princess-Mika-Test,1023,MY_SCRIPTING_SON,Player2Win,15760,11.73,False,2026-03-04T20:34:25.313826Z,2026-03-04T21:50:25.728702Z,2026-03-04T21:57:49.969180Z
4667735,41408,151,1045,tito,201,QueenBot,Player1Win,12191,9.07,False,2026-03-04T20:34:24.947943Z,2026-03-04T21:55:00.208870Z,2026-03-04T21:58:42.421324Z
4667781,41408,150,901,clone,346,Sharkling,Player1Win,4888,3.64,False,2026-03-04T20:34:25.617706Z,2026-03-04T22:02:36.996580Z,2026-03-04T22:05:49.382315Z
4667686,41408,151,117,Chance,876,GenesisLotus,Player2Win,9609,7.15,False,2026-03-04T20:34:24.240453Z,2026-03-04T22:01:35.174938Z,2026-03-04T22:06:33.974293Z
4667895,41408,149,168,sharkbot,115,BenBotBC,Player1Win,23146,17.22,False,2026-03-04T20:34:27.242114Z,2026-03-04T21:47:53.026165Z,2026-03-04T22:08:07.099850Z
