round,bot_id,bot_name,elo,division
8,720,PiG_Bot,1594.82,2
8,518,norman,1591.55,2
8,971,Nothing,1589.37,2
8,201,QueenBot,1589.19,2
8,827,smokinggunbot,1587.49,2
8,516,27turtles,1587.24,2
8,1082,Dasyatis,1581.57,2
8,275,Lissy,1575.65,2
8,970,TheLAW,1575.45,2
8,1054,JimmyBotZ,1563.21,2
8,1008,Creepy_canon,1562.34,2
8,1080,JimmyBot,1558.51,2
8,1089,WorkingAsIntended,1556.2,2
8,836,muravevTerran,1550.92,2
8,943,puck,1549.99,2
8,1085,AgoraLord,1544.73,2
8,708,Princess-Mika,1543.64,2
8,1058,JimmyBotP,1543.59,2
8,930,SiriusBot,1538.32,3
8,1042,Creepy_duo_canon,1532.13,3
8,858,Crawler,1524.06,3
8,981,KoB,1517.05,3
8,1050,onlyfans,1513.57,3
8,1081,ArtZerg,1511.96,3
8,1038,PolyMorph,1495.05,3
8,939,RustyNikolaj,1494.84,3
8,876,GenesisLotus,1491.5,3
8,940,Princess-Mika-Test,1482.73,3
8,1065,MindMatrix,1475.41,3
8,341,gotest,1470.75,3
8,1044,DoopyBot,1470.59,3
8,977,Siriusly,1467.38,3
8,1057,DoopyBot-Test,1466.44,3
8,779,oberon,1455.18,3
8,1023,MY_SCRIPTING_SON,1453.22,3
8,112,Tyckles,1453.1,3
8,809,PrimordialOrigin,1445.04,3
8,721,49Terrapins,1396.34,3
8,117,Chance,1392.08,3
8,352,Belzebuth,1368.47,3
8,729,Alexa,1351.5,3
8,1052,Starlight,1302.34,3
8,1078,LoremIpsum,1289.14,3
8,1026,WildLupo,1260.81,3
8,1049,TheCatSC2Bot,1083.42,3
9,248,Eris,2085.05,1
9,730,Deimos,1983.31,1
9,496,Zozo,1954.19,1
9,115,BenBotBC,1931.64,1
9,49,MicroMachine,1923.87,1
9,223,DominionDog,1860.14,1
9,40,SharpenedEdge,1850.1,1
9,446,Xena,1824.92,1
9,517,VeTerran-revived,1821.94,1
9,1030,who,1813.8,1
9,966,ArgoBot,1810.35,1
9,168,sharkbot,1799.25,1
9,167,TyrT,1798.87,1
9,732,GPT,1760.25,1
9,262,whalemean,1738.82,1
9,338,smallBly,1730.77,1
9,759,BotTato,1716.22,1
9,1045,tito,1710.38,1
9,510,PhantomBot,1705.43,1
9,357,12PoolBot,1692.9,1
9,346,Sharkling,1674.81,1
9,718,Mulebot,1674.55,1
9,961,AvocaDOS,1670.1,1
9,340,MechaShark,1662.71,1
9,797,WickedBot,1660.24,1
9,605,nida,1657.64,1
9,901,clone,1645.72,1
9,1007,SharkGull,1634.46,1
9,526,Apidae,1630.38,2
9,953,ZeratulsRevengeTest,1627.44,2
9,960,BigDaddy,1623.71,2
9,518,norman,1621.4,2
9,637,72Tortoises,1609.11,2
9,720,PiG_Bot,1608.43,2
9,998,LordSuperKing,1605.48,2
9,1060,WildFire,1605.31,2
9,1058,JimmyBotP,1602.85,2
9,1082,Dasyatis,1600.2,2
9,858,Crawler,1600.09,2
9,1089,WorkingAsIntended,1598.86,2
9,516,27turtles,1597.78,2
9,971,Nothing,1596.58,2
