round,bot_a,bot_b,outcome_a,duration_minutes,category,division,elo_diff
1,961,1030,0.0,9.29,normal,1,40.51
1,961,797,0.0,12.45,normal,1,5.94
1,961,1078,1.0,11.7,normal,1,95.92
1,961,517,0.0,10.92,normal,1,39.36
1,961,1079,1.0,8.87,normal,1,31.88
1,1065,970,0.5,9.61,normal,1,19.45
1,1065,167,1.0,6.55,abnormal,1,93.12
1,1065,960,0.0,7.54,normal,1,23.31
1,1065,49,0.0,9.72,normal,1,137.91
1,1065,1030,0.0,15.14,normal,1,119.04
1,1065,797,0.0,12.59,normal,1,71.95
1,1065,1078,1.0,16.33,normal,1,33.79
1,1065,517,0.0,8.32,normal,1,113.06
1,1065,1079,0.0,11.44,normal,1,88.14
1,970,167,1.0,10.15,normal,1,64.47
1,970,960,0.0,6.89,normal,1,12.85
1,970,49,0.0,9.57,normal,1,125.2
1,970,1030,0.0,9.76,normal,1,106.97
1,970,797,1.0,11.88,normal,1,61.14
1,970,1078,1.0,8.99,normal,1,73.95
1,970,517,1.0,8.86,normal,1,86.51
1,970,1079,1.0,7.58,normal,1,46.67
1,167,960,1.0,9.15,normal,1,24.98
1,167,49,0.0,8.6,normal,1,69.78
1,167,1030,0.0,10.25,normal,1,53.1
1,167,797,0.0,13.29,normal,1,6.56
1,167,1078,1.0,12.7,normal,1,121.04
1,167,517,1.0,10.21,normal,1,36.79
1,167,1079,1.0,8.85,normal,1,1.05
1,960,49,0.0,10.89,normal,1,116.02
1,960,1030,0.0,8.27,normal,1,98.73
1,960,797,0.0,9.98,normal,1,39.43
1,960,1078,1.0,16.0,normal,1,89.58
1,960,517,0.0,10.6,abnormal,1,64.07
1,960,1079,1.0,6.84,normal,1,42.48
1,49,1030,0.0,9.64,normal,1,22.36
1,49,797,1.0,11.6,normal,1,77.62
1,49,1078,1.0,10.71,normal,1,233.04
1,49,517,1.0,10.0,normal,1,64.2
1,49,1079,1.0,13.87,normal,1,114.38
1,1030,797,1.0,6.71,normal,1,78.53
1,1030,1078,1.0,8.94,normal,1,231.0
1,1030,517,1.0,6.53,normal,1,65.42
1,1030,1079,0.0,8.43,normal,1,114.49
1,797,1078,0.0,8.61,normal,1,143.38
1,797,517,0.0,9.5,normal,1,33.52
1,797,1079,1.0,10.68,normal,1,15.24
1,1078,517,0.0,8.31,normal,1,161.87
1,1078,1079,1.0,9.67,abnormal,1,125.3
1,517,1079,0.0,9.99,normal,1,56.38
1,338,1060,1.0,5.92,normal,2,0.0
1,338,1081,0.0,13.55,abnormal,2,8.0
1,338,496,0.0,11.15,normal,2,0.18
1,338,518,0.0,6.86,normal,2,8.18
1,338,1038,1.0,8.12,normal,2,15.99
1,338,40,1.0,8.56,normal,2,7.62
1,338,262,1.0,7.2,normal,2,0.55
1,338,759,0.0,8.97,normal,2,8.54
1,338,730,0.0,7.76,normal,2,0.34
1,338,168,0.0,9.16,normal,2,7.67
1,338,1042,1.0,8.75,normal,2,15.49
1,338,971,0.0,5.97,normal,2,7.13
1,338,876,1.0,7.88,normal,2,14.97
1,338,998,1.0,8.23,normal,2,6.62
1,338,1023,1.0,9.1,normal,2,1.53
1,338,340,0.0,8.59,normal,2,9.49
1,338,901,1.0,8.82,normal,2,1.27
1,338,953,0.0,5.71,normal,2,9.25
1,338,708,1.0,10.01,normal,2,1.03
1,338,112,1.0,9.75,normal,2,9.01
1,338,809,1.0,10.61,normal,2,16.8
1,338,341,1.0,9.0,normal,2,24.42
1,338,275,1.0,13.2,normal,2,31.85
1,338,1057,0.0,13.36,normal,2,39.12
1,338,357,1.0,5.58,normal,2,30.23
1,338,605,1.0,10.05,normal,2,37.53
1,1060,1081,0.0,5.07,normal,2,16.18
1,1060,496,0.0,9.14,normal,2,23.62
1,1060,518,0.5,60.0,timelimit,2,30.9
1,1060,1038,1.0,10.76,normal,2,14.01
1,1060,40,0.0,8.38,normal,2,5.88
1,1060,262,0.0,9.16,normal,2,13.93
1,1060,759,0.0,12.92,normal,2,37.79
1,1060,730,0.0,9.56,normal,2,44.74
1,1060,168,0.0,12.1,normal,2,51.53
1,1060,1042,0.0,8.31,normal,2,42.17
1,1060,971,0.0,10.76,normal,2,65.4
1,1060,876,1.0,8.99,normal,2,55.73
1,1060,998,1.0,8.23,normal,2,46.65
1,1060,1023,1.0,6.94,normal,2,37.77
1,1060,340,0.5,60.0,timelimit,2,45.09
1,1060,901,0.0,14.23,normal,2,27.86
1,1060,953,1.0,8.22,normal,2,51.41
1,1060,708,1.0,10.32,normal,2,26.04
1,1060,112,1.0,16.95,normal,2,17.63
1,1060,809,1.0,8.7,normal,2,9.4
1,1060,341,1.0,12.05,normal,2,1.36
1,1060,275,1.0,7.08,normal,2,6.5
1,1060,1057,1.0,10.78,normal,2,1.81
1,1060,357,1.0,7.45,normal,2,22.43
1,1060,605,0.0,12.47,normal,2,29.75
1,1081,496,0.0,14.76,normal,2,0.36
1,1081,518,0.0,8.7,normal,2,0.7
1,1081,1038,0.5,60.0,timelimit,2,16.48
1,1081,40,0.0,11.41,normal,2,0.28
1,1081,262,0.0,9.92,normal,2,8.28
1,1081,759,0.0,2.95,abnormal,2,31.72
1,1081,730,1.0,7.3,normal,2,38.65
1,1081,168,0.0,13.76,normal,2,29.43
1,1081,1042,1.0,10.66,abnormal,2,20.78
1,1081,971,1.0,7.94,normal,2,27.97
1,1081,876,1.0,8.28,normal,2,12.63
1,1081,998,0.0,10.51,normal,2,19.95
1,1081,1023,1.0,9.99,normal,2,11.1
1,1081,340,0.0,9.84,normal,2,5.17
1,1081,901,0.0,8.35,normal,2,5.26
1,1081,953,0.0,6.97,normal,2,12.79
1,1081,708,0.0,11.87,normal,2,4.88
1,1081,112,1.0,9.06,normal,2,13.14
1,1081,809,1.0,9.84,normal,2,5.21
1,1081,341,1.0,8.55,normal,2,2.55
1,1081,275,1.0,6.07,normal,2,10.14
1,1081,1057,1.0,6.8,normal,2,1.93
1,1081,357,0.5,60.0,timelimit,2,25.53
